PointID,X,Y,sand,silt,clay
47,663487,4873463,0.07,0.712,0.218
48,663503,4873467,0.276,0.558,0.166
49,663509,4873476,0.257,0.59,0.153
50,663516,4873473,0.232,0.623,0.145
51,663522,4873486,0.475,0.392,0.133
52,663528,4873494,0.544,0.318,0.138
53,663537,4873502,0.681,0.201,0.118
54,663567,4873520,0.211,0.681,0.108
55,663599,4873535,0.2525,0.6425,0.105
56,663631,4873521,0.116,0.674,0.21
57,663643,4873523,0.327,0.581,0.092
62,664172,4872547,0.145,0.713,0.142
63,664181,4872563,0.5085,0.4195,0.072
64,664205,4872595,0.144,0.678,0.178
65,664216,4872626,0.222,0.633,0.145
66,664227,4872657,0.148,0.675,0.177
67,664232,4872680,0.228,0.605,0.167
68,664256,4872715,0.701,0.257,0.042
69,663778,4873075,0.702,0.256,0.042
70,663786,4872747,0.366,0.543,0.091
71,662505,4873086,0.079,0.756,0.165
72,662524.375,4873071,0.0975,0.7285,0.174
73,662545.6875,4873057,0.059,0.795,0.146
74,662591.25,4873033.5,0.074,0.791,0.135
75,662566.25,4873045.5,0.122,0.744,0.134
76,662633.6875,4873014.5,0.073,0.797,0.13
77,662694.3125,4873003.5,0.247,0.647,0.106
78,662761,4873015,0.199,0.692,0.109
79,662823,4873019,0.264,0.628,0.108
80,662732.875,4872975,0.26,0.63,0.11
81,662740.3125,4872935.5,0.26,0.63,0.11
82,662773.6875,4872904.5,0.323,0.587,0.09
83,662811.6875,4872867,0.355,0.518,0.127
84,662821.125,4872832,0.727,0.193,0.08
85,663535,4873485,0.431,0.456,0.113
86,663538,4873472,0.471,0.409,0.12
87,663544,4873451,0.451,0.435,0.114
88,663549,4873438,0.184,0.647,0.169
89,663554,4873426,0.282,0.553,0.165
90,663560,4873411,0.205,0.629,0.166
91,663563,4873399,0.152,0.708,0.14
92,662486,4873099,0.082,0.748,0.17
93,662475,4873107,0.082,0.748,0.17
94,662466,4873117,0.071,0.787,0.142
95,662457,4873126,0.057,0.803,0.14
96,662441,4873133,0.072,0.765,0.163
97,662421,4873143,0.075,0.764,0.161
98,662403,4873145,0.091,0.773,0.136
99,662387,4873151,0.082,0.751,0.167
